Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2026,Spring,Heinz College,AEM,93721,A3,"IYER, Jenee",ARTS MANAGEMENT & IP,Graduate,13,7,53.8,5.86,4.57,4.57,4.43,4,4.57,4.71,4.86,4.57,4.57
2026,Spring,Heinz College,AEM,93807,A3,"STEWART, GRACE",MUSEUM OPERATIONS,Graduate,18,10,55.6,7.33,3,2.67,2.33,1.89,2.67,2.78,4,2.33,2
2026,Spring,Heinz College,AEM,93807,A3,"WALLS, CECELIA",MUSEUM OPERATIONS,Graduate,18,10,55.6,7.1,3.2,2.7,2.4,2.1,2.8,2.9,4.8,2.7,2.2
2026,Spring,Heinz College,AEM,93812,A4,"MILLER, RANDAL",PRESNTG PERFORM ARTS,Graduate,19,9,47.4,7,4.11,3.33,3.78,4,4.33,4.11,4.56,3.67,4
2026,Spring,Heinz College,AEM,93821,A,"CRAWFORD, BRETT",MRKTG & AUD ENGAGEMT,Graduate,28,17,60.7,8.71,4,2.71,3,3.18,3.88,3.35,3.76,3.29,2.94
2026,Spring,Heinz College,AEM,93826,A3,"MCMAHON, JAMIE",FUNDR & INDIV GIVING,Graduate,26,14,53.8,7.14,4.21,4.36,4.07,3.57,4.43,3.79,4.64,4.07,3.93
2026,Spring,Heinz College,AEM,93827,A4,"BENVENUTI, SARAH",FUNDR & INSTIT GIVNG,Graduate,27,25,92.6,6.2,4,3.88,4.08,3.76,4.48,4.04,3.64,3.68,3.76
2026,Spring,Heinz College,AEM,93831,A3,"SOLOMON, MARCIE",LAW FUND ARTS MNGERS,Graduate,30,23,76.7,7.52,4.09,4.09,4.17,3.61,4.22,3.96,4.74,3.91,3.91
2026,Spring,Heinz College,AEM,93844,A3,"BERLIN, LIZ",LIVE MUS TOUR REV ST,Graduate,18,12,66.7,6.5,4.17,4.08,4.17,4,4.42,3.92,4.75,4,3.83
2026,Spring,Heinz College,AEM,93846,A3,"POULIN, JEFF",CULTURAL PLCY ADVCY,Graduate,9,6,66.7,8,4.83,4.5,4.83,4.33,5,4.83,5,4.83,4.83
2026,Spring,Heinz College,AEM,93851,L,"BAKER, JONATHAN",FLM ECONMC MRKTG DIS,Graduate,33,8,24.2,9.63,4.25,3.75,3.63,3.75,4.38,3.75,3.63,3.5,3.63
2026,Spring,Heinz College,AEM,93854,L,"IYENGAR, LAKSHMI",FILM ACQUISTION,Graduate,17,6,35.3,6,4.33,4.67,4.67,4,4.83,4.83,4.67,4.33,4.67
2026,Spring,Heinz College,AEM,93855,L,"HIME, ADAM",INTELLECTURAL PROPTY,Graduate,33,7,21.2,6.71,4.86,5,5,4.29,4.86,4.86,4.86,4.86,4.86
2026,Spring,Heinz College,AEM,93856,L,"SMITH, MICHELE",BUSINESS DEVELOPMENT,Graduate,33,8,24.2,5.38,4.38,3.63,3.63,3.75,4.13,3.88,4.75,3.88,3.88
2026,Spring,Heinz College,AEM,93860,L,"PLATZ, CHERYL",CRAFT OF VIDEO GAME,Graduate,17,6,35.3,6.5,5,4.83,5,5,5,5,5,5,5
2026,Spring,Heinz College,AEM,93863,A4,"BENVENUTI, SARAH",ARTS MGMT CONSULTING,Graduate,15,10,66.7,5.9,4.8,4.8,4.7,4.6,4.8,4.9,4.8,4.6,4.7
2026,Spring,Heinz College,AEM,93866,L,"CHRISTOPHER, MARK",CREATIVE PRODUCING,Graduate,12,2,16.7,5,5,4,5,5,5,5,5,4.5,4.5
